ID,Age, Income,MaritalSituation,hasKids,EducationalYears,EducationalDegree,Fruits,MeatProduct,FishProduct,SweetProduct,GoldProduct
0,51,"$84,835.00 ",Alone,No,12,Graduation,104,379,111,189,218
1,60,"$57,091.00 ",Alone,No,12,Graduation,5,64,7,0,37
2,63,"$67,267.00 ",In couple,Yes,12,Graduation,11,59,15,2,30
3,54,"$32,474.00 ",In couple,Yes,12,Graduation,0,1,0,0,0
4,32,"$21,474.00 ",Alone,Yes,12,Graduation,16,24,11,0,34
5,63,"$71,691.00 ",Alone,No,21,PhD,130,411,240,32,43
6,67,"$63,564.00 ",In couple,No,8,2n Cycle,80,252,15,34,65
7,54,"$44,931.00 ",In couple,Yes,12,Graduation,0,11,0,0,7
8,67,"$65,324.00 ",In couple,Yes,21,PhD,0,102,21,32,5
9,67,"$65,324.00 ",In couple,Yes,21,PhD,0,102,21,32,5
10,74,"$81,044.00 ",In couple,No,8,2n Cycle,26,535,73,98,26
11,42,"$62,499.00 ",In couple,Yes,18,Master,4,61,0,13,4
12,62,"$67,786.00 ",Alone,No,21,PhD,82,441,80,20,102
13,40,"$26,872.00 ",In couple,No,12,Graduation,10,8,3,16,32
14,52,"$4,428.00 ",In couple,Yes,12,Graduation,4,12,2,4,321
15,44,"$54,809.00 ",In couple,Yes,12,Graduation,6,57,13,13,22
16,44,"$54,809.00 ",In couple,Yes,12,Graduation,6,57,13,13,22
17,63,"$32,173.00 ",Alone,Yes,21,PhD,0,2,0,0,2
18,61,"$47,823.00 ",Alone,Yes,8,2n Cycle,1,5,2,1,10
19,63,"$30,523.00 ",Alone,Yes,18,Master,0,3,0,0,5
20,67,"$36,634.00 ",In couple,Yes,18,Master,9,76,4,3,30
21,55,"$43,456.00 ",Alone,Yes,18,Master,11,68,25,7,7
22,42,"$40,662.00 ",In couple,Yes,18,Master,2,23,0,4,23
23,45,"$49,544.00 ",In couple,Yes,21,PhD,0,73,0,0,23
24,52,"$57,731.00 ",Alone,Yes,12,Graduation,21,300,65,8,44
25,56,"$33,168.00 ",Alone,Yes,18,Master,1,37,0,1,3
26,65,"$54,450.00 ",In couple,Yes,12,Graduation,0,171,8,19,32
